,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
34781,XUmgV6QzBzVg8pBzeOHalg,"""Buckstone Pub & Kitchen""","""Braid Hills Hotel, 134 Braid Road""",Edinburgh,EDH,EH10 6JD,55.917142000000005,-3.2131659,3.0,4,1,Scottish;Cafes;Restaurants
34836,y6LDbw9f7KCDYRt0oLleUg,"""Dolphin Fish Bar""","""36 North Junction Street""",Edinburgh,EDH,EH6 6HP,55.976437,-3.1792979999999997,5.0,3,1,Restaurants;Fish & Chips
34876,VdBpfLna-sn83cdKmSkxOg,"""Usquabae""","""2-4 Hope Street""",Edinburgh,EDH,EH2 4DB,55.950472,-3.20817,4.5,19,1,Bars;Restaurants;Scottish;Nightlife
34901,6lcRVoeg4hiy52_sj3H4HA,"""Clerk's Bar""","""74/78 South Clerk Street""",Edinburgh,MLN,EH8 9PT,55.9396812,-3.1800832000000003,4.0,23,1,Bars;American (New);Restaurants;Pubs;Barbeque;Nightlife
35009,Sqwa2aNwnqCmc95gVWQ9bA,"""Brass Monkey""","""14 Drummond Street""",Edinburgh,EDH,EH8 9TU,55.94729770000001,-3.1852915,4.0,96,1,Bars;Pubs;Sandwiches;Restaurants;Lounges;Nightlife
35114,VecnSuJm8sD83LWJ_KqAtg,"""The Gurkha""","""128 Morningside Road""",Edinburgh,EDH,EH10 4BX,55.930875,-3.210086,4.0,16,1,Restaurants;Himalayan/Nepalese
35165,sqHb7QdFxi7p1ToLK5x22Q,"""Wok & Wine""","""57A Frederick Street""",Edinburgh,EDH,EH2 1LH,55.9540946,-3.2006919999999996,4.0,7,0,Chinese;Restaurants
35232,OZKo0tpRrgYoLw5mzKmX-Q,"""Le Mouton Noir""","""3-5 Viewforth""",Edinburgh,EDH,EH10 4JD,55.9368944,-3.2082441000000004,4.5,10,0,Restaurants;French
35888,TP7Ag-QrM5rNv4rmpDCtoA,"""Bar Kohl""","""54 George IV Bridge, Old Town""",Edinburgh,EDH,EH1 1EJ,55.9479725,-3.1917892999999995,4.0,63,0,Lounges;Cocktail Bars;Nightlife;Burgers;Restaurants;Pubs;Bars
35979,IYdv6RxSiqz2XMsqkiTmPQ,"""Word of Mouth""","""3A Albert Street""",Edinburgh,EDH,EH7 5HL,55.9625098733,-3.1784391402999996,4.0,47,1,Restaurants;Sandwiches;Coffee & Tea;Breakfast & Brunch;Food
36082,DnOzqKKHb-4hCxZQqnPdFg,"""Bonnington Brunch""","""280 Bonnington Road""",Edinburgh,MLN,EH6 5BE,55.969091799999994,-3.1844272,3.5,5,1,Food;Restaurants;Breakfast & Brunch;Fast Food;Coffee & Tea
36126,BZ_j2EpBANxiNA1cBr-b6Q,"""Zest""","""15 North ST Andrew Street""",Edinburgh,EDH,EH2 1HJ,55.9556486,-3.1925673,4.5,15,1,Indian;Pakistani;Restaurants
36141,nkbMoTmAZXxQ0Nxk9uEmdg,"""Café Truva""","""46 Lady Lawson Street""",Edinburgh,EDH,EH3 9DW,55.94577170000001,-3.2007207,3.5,5,1,Restaurants;Turkish
36418,RNPGfp-6azR4v8yepzpDVA,"""The Whistle Stop Barber Shop""","""66-67 South Bridge""",Edinburgh,EDH,EH1 1LS,55.947300024899995,-3.1859789422,4.0,18,1,Cocktail Bars;Restaurants;Burgers;Diners;Nightlife;Bars
36506,9S_7F5xDS3aStqZFXqB5oA,"""Rudi's Delicatessens""","""30 Forrest Road""",Edinburgh,EDH,EH1 2QN,55.945515799999995,-3.1910051,3.5,10,1,Coffee & Tea;Food;Restaurants;Delis
36591,NiRodyJDiFTYonB2cmYhtA,"""Ally's Cafe""","""17 Cadzow Place""",Edinburgh,EDH,EH7 5SN,55.95714649999999,-3.168304,2.5,3,1,Fast Food;Restaurants
36634,-Mrg_QlG-S_PjfRNEs3COA,"""Rollo""","""14 Broughton Street""",Edinburgh,EDH,EH1 3RH,55.957264376800005,-3.1881135606,4.5,7,1,Wine Bars;Nightlife;Restaurants;Bars;British
36652,6yCMBhiMwC78EajSWSnfzg,"""Steve's Dakota Grill""","""2809 Pearl Rd""",Medina,OH,44256,41.1982926054,-81.8417114046,3.5,20,0,American (New);Restaurants;American (Traditional)
36994,YHbdVUyCZpxduhVNhgasxw,"""Deli Polonia""","""235 - 241 Leith Walk""",Edinburgh,EDH,EH6 8NY,55.9664517,-3.1750884999999998,4.0,10,0,Delis;Polish;Restaurants
37206,8uFodG169kANayIzkd49mw,"""Shilla""","""13B Dundas St""",Edinburgh,EDH,EH3 6OG,55.9565126,-3.1986027000000004,3.5,25,0,Restaurants;Food;Korean
37233,KtUuxN2gZXeC7WpJ_w9hNg,"""Vittoria Restaurant""","""113 Brunswick Street""",Edinburgh,EDH,EH7 5HR,55.961075,-3.1807060000000003,4.0,40,1,Italian;Restaurants
37325,KUqbu6uqwrzUvKt5BWaWyw,"""Peckham's""","""155-159 Bruntsfield Place""",Edinburgh,EDH,EH10 4DG,55.93595799999999,-3.2091111,4.0,6,0,Delis;Restaurants;Food;Beer;Wine & Spirits;Shopping;Specialty Food
37434,Ysu_oPTdpbfHSONK1Gswbg,"""The Constitution""","""48-52 Constitution Street, Leith""",Edinburgh,EDH,EH6 6RS,55.975009918199994,-3.1671628951999997,3.0,14,1,Gastropubs;Bars;Nightlife;Restaurants
37760,F6eEu0qhYpS99e1ag3q0Bw,"""Braw Burgers And Pizza""","""54A Clerk Street""",Edinburgh,EDH,EH8 9JQ,55.9420290385,-3.18180743,5.0,3,1,Burgers;Restaurants;Pizza
37982,sjbJWl2dMzFhcipaC1czAA,"""Blackcherry Cafe""","""29 Grassmarket""",Edinburgh,EDH,EH1 2HS,55.9470006,-3.1971435,4.0,4,0,Modern European;Restaurants
38050,xncnCYn-IuUGQb2AjTRDpw,"""1780""","""167 Rose Street""",Edinburgh,EDH,EH2 4AT,55.9515007,-3.2051496,3.5,16,1,Scottish;Nightlife;Pubs;Bars;Restaurants
38064,nOPfYYy_Wxi4Lyt2xfvJzQ,"""Joey's South Side Burgers""","""249 Lafayette Rd""",Medina,OH,44256,41.1340092,-81.86781529999999,3.0,6,0,Burgers;Restaurants
38074,RmckhsCyWhBZaQs6HnT6sA,"""MP's Bistro""","""15 Calton Hill""",Edinburgh,EDH,EH1 3BJ,55.954297564499996,-3.1861846233999995,3.0,3,1,Restaurants;Scottish
38122,MeTXcF5eTA4jEIviEZZsJg,"""C-Shack""","""3 Pier Place""",Edinburgh,MLN,EH6 4LP,55.98076379999999,-3.1953825,5.0,4,0,Restaurants;Seafood
38168,GaymsFE7jVr9PtLwYRYiAA,"""Shezan Indian Cuisine""","""25 Union Place""",Edinburgh,EDH,EH1 3NQ,55.957477000000004,-3.1854869999999997,4.0,24,1,Restaurants;Pakistani;Indian
38175,VscuHpnIHLNbm6kjY4z_Aw,"""Double Dutch""","""27 Marshall Street, Newington""",Edinburgh,EDH,EH8 9BJ,55.94591,-3.186607,3.0,10,0,Mediterranean;British;Coffee & Tea;Restaurants;Food
38236,2dhL4gSNh-HQks3mQCceAA,"""Black Dutch Cafe Bar""","""91 Montgomery Street""",Edinburgh,EDH,EH7 5,55.959546100000004,-3.1787037000000002,4.5,3,0,Food;Fast Food;Restaurants;Bars;Wine Bars;Nightlife;Coffee & Tea
38266,EP5939DmEgqLd9DDNEh5lg,"""In Touch""","""8 Inverleith Gardens""",Edinburgh,EDH,EH3 5PU,55.971024467,-3.2100605680000003,3.0,4,1,Indian;Restaurants
38344,WGx8xzim-5whlePsNP8YZQ,"""Bob Evans""","""4904 Grande Blvd""",Medina,OH,44256,41.1640463828,-81.8628966808,2.0,8,1,Hotels & Travel;Salad;American (Traditional);Breakfast & Brunch;Comfort Food;Bed & Breakfast;Restaurants
38598,gtx0OZnN98YXAASyMzv3hw,"""Three Birds""","""3 Viewforth""",Edinburgh,EDH,EH10 4JD,55.9368492537,-3.2080509393,4.5,33,1,Restaurants;Scottish;British
38857,4_dq9EMxFj5LjGoazLqziw,"""Blue Bar Cafe""","""10 Cambridge Street""",Edinburgh,EDH,EH1 2ED,55.9478954,-3.2049925999999997,4.0,4,0,Restaurants;Food;Coffee & Tea
38928,0MVFN6z4GyPgFpGjJY-sew,"""Seadogs""","""43 Rose Street, New Town""",Edinburgh,EDH,EH2 2NH,55.9525469,-3.1990746,4.0,23,0,Restaurants;Seafood
38939,S5OyMT8iK7QzVKZPtI2k1g,"""Girves Brown Derby""","""5051 Eastpointe Dr""",Medina,OH,44256,41.1376365,-81.79616690000002,3.5,47,1,Bars;Nightlife;Steakhouses;Restaurants;Wine Bars
38944,mGKTW-7gzONiBvrsAEU0zQ,"""Khartoum Cafe""","""6 Gillespie Place, Bruntsfield""",Edinburgh,EDH,EH10 4HS,55.940772499999994,-3.2036403,4.5,13,1,Fast Food;African;Restaurants
38994,5N-oXllcA4j9_YORwKtrgg,"""Kezban""","""9-10 Commercial Street""",Edinburgh,EDH,EH6 6JA,55.9765030409,-3.1713978707,4.5,3,1,Barbeque;Restaurants;Turkish;Mediterranean
39138,NUxBJyzYCkBpcq-7Gmdf5g,"""Oloroso Restaurant""","""33 Castle Street""",Edinburgh,EDH,EH2 3DN,55.9522221,-3.2031324,4.0,27,0,Restaurants;Food;Wineries;Arts & Entertainment;British
39151,jeMMo-cVbaG1iRtN5xrotg,"""McDonald's""","""1-17 Glasgow Road""",Edinburgh,EDH,EH12 8HW,55.9422495974,-3.2935970560000003,3.0,7,1,American (Traditional);Restaurants;Fast Food
39235,W7ja3Nkuv1kmPdCJ-0k0LQ,"""Project Sushi""","""3579 Medina Rd""",Medina,OH,44256,41.136972,-81.815725,4.5,56,1,Sushi Bars;Restaurants
39324,g38pY1WD5dbmEuv0Bkx8QQ,"""Empires""","""24 St Marys Street""",Edinburgh,EDH,EH1 1SU,55.9503782,-3.1836019,4.0,21,1,Specialty Food;Turkish;Food;Ethnic Food;Imported Food;Restaurants
39487,HwtL9MS8alHmEOZiJGOgHw,"""Footlights Bar & Grill""","""7-11 Spittal Street""",Edinburgh,EDH,EH3 9DY,55.94604720000001,-3.2035446,3.0,14,1,Arts & Entertainment;Pubs;Music Venues;Bars;Scottish;Sports Bars;Nightlife;Comedy Clubs;Restaurants
39534,YFZtDqYdz00E1RlI_Vo89w,"""The Khukuri""","""8 West Maitland Street""",Edinburgh,EDH,EH12 5DS,55.9465581,-3.2157661,4.5,11,1,Restaurants;Indian;Himalayan/Nepalese
39570,uNCooWDaIw-fd_fMYQ90Lg,"""Old Penang""","""21 Dalziel Pl""",Edinburgh,EDH,EH7 5TP,55.955735293400004,-3.1740188599,4.5,6,0,Restaurants;Thai
39775,GdzCnx5OWURyklzTjaQIPw,"""Kama Sutra""","""16 Drummond Street""",Edinburgh,EDH,EH8 9TX,55.947355,-3.185124,4.5,15,1,Restaurants;Indian
39813,a3ZkIkz4npePbrN3uEiFEg,"""Bonningtons Eaterie""","""75 Clerk Street""",Edinburgh,EDH,EH8 9JG,55.9415735,-3.1818185000000003,4.0,15,1,Soup;Sandwiches;Food;Restaurants;Coffee & Tea;Delis
40018,12RcitsYkySmzeNavoNP0A,"""Lan Thai""","""232 Leith Walk""",Edinburgh,EDH,EH6 5EQ,55.966691299999994,-3.1751134,3.0,5,0,Fast Food;Thai;Restaurants
40350,MRjwwk0J6ZBfOSYTtWGu3g,"""Loch Fyne""","""25 Pier Place""",Edinburgh,EDH,EH6 4LP,55.9810299129,-3.1935425302,4.0,28,1,Seafood;Restaurants
40462,ZNcX99W6jwmbve8ERxVfmw,"""Teviot Library Bar & Underground""","""13 Bristo Square""",Edinburgh,EDH,EH8 9AJ,55.9448983,-3.1886315,4.0,17,1,Sports Bars;Fast Food;Restaurants;American (Traditional);Music Venues;Arts & Entertainment;Bars;Nightlife
40475,JJA4IM8aiDtnkfNeXOIW0A,"""Oasis Grill Restaurant""","""930 W Liberty St""",Medina,OH,44256,41.144334,-81.889972,4.0,3,0,Barbeque;Restaurants;American (Traditional);Diners
40539,PjSCDlb8ZOk_X9sjsUFHDg,"""The Printing Press Bar & Kitchen""","""21-25 George Street""",Edinburgh,EDH,EH2 2PB,55.9541639,-3.1963378,3.5,9,1,Scottish;Restaurants;British
40545,7Oi6eT_-h_9JlMqRsEdt3A,"""The Filling Station""","""235 High Street, Old Town""",Edinburgh,EDH,EH1 1PE,55.94995600000001,-3.1891812,3.0,62,1,American (Traditional);Restaurants;Fast Food
40754,I1j1kEbQ5BliKsjzl5etVA,"""The King's Wark""","""36 The Shore""",Edinburgh,EDH,EH6 6QU,55.9761758442,-3.1695805530000003,4.0,61,1,Bars;Nightlife;Gastropubs;British;Restaurants;Breakfast & Brunch;Pubs
40838,oXTYoA4MP0GYzJn_JfChRA,"""Chiang Mai""","""15 Dalry Road""",Edinburgh,EDH,EH11 2BQ,55.945403299999995,-3.2170859,3.0,7,0,Thai;Restaurants
40887,xYeEPSl57Dq9KFg8Su6XxA,"""Scott's Deli""","""10 Gillespie Place""",Edinburgh,EDH,EH10 4HS,55.940561100000004,-3.2039554,4.0,8,0,Restaurants;Delis
41041,fagmJeecurJfXGAxbgMv8Q,"""The Cholas""","""63 Clerk Street""",Edinburgh,EDH,EH8 9JQ,55.941864699999996,-3.1821734,4.0,17,0,Indian;Restaurants
41054,csbBCysrsifg8N10c0eHCA,"""Browns""","""131-133 George Street, New Town""",Edinburgh,EDH,EH2 4JS,55.9523429871,-3.205974102,3.5,59,1,Breakfast & Brunch;Nightlife;Wine Bars;Gastropubs;Bars;Restaurants;British;Champagne Bars
41102,FVT-2utBQTT3ihYHnVEmxw,"""Checkpoint""","""3 Bristo Place""",Edinburgh,EDH,EH1 1EY,55.9462320675,-3.1900158897,4.0,14,1,Restaurants;Food;Coffee & Tea;Nightlife;Cafes;Bars
41143,taqRnVCqoQmiDuKp4E6FkA,"""Pizza Express""","""32 Queensferry Street""",Edinburgh,EDH,EH2 4QS,55.9509725,-3.2096455,3.5,10,1,Restaurants;Italian;Pizza
41161,VDObPKuxGTc6nsiMHY0-NA,"""Nargile""","""73 Hanover Street""",Edinburgh,EDH,EH2 1EE,55.953934999999994,-3.1973592999999996,4.0,16,0,Turkish;Restaurants
41242,P96Nq4JcXYrsw1gNK-knDg,"""Burger""","""91/93 Shadwick Place""",Edinburgh,EDH,EH2 4SD,55.94899770000001,-3.2100944,3.0,16,0,Burgers;Restaurants
41341,EKGb7I6zbw7s8lYCg3HdWg,"""El Barrio Latino Bar & Club""","""47 Hanover Street""",Edinburgh,EDH,EH2 2PJ,55.952,-3.20213,2.5,7,1,Restaurants;Mexican;Nightlife;Dance Clubs;Bars;Pubs
41405,ORO2b08BhT28Xz8Ocb7vAg,"""Tanners""","""459 Lanark Road, Juniper Green""",Edinburgh,EDH,EH14 5BA,55.9074,-3.2745900000000003,3.5,4,1,Restaurants;Bars;Nightlife;Pubs
41567,Ln1-9GXePIu0tG8ZZVLflQ,"""Kebab Express""","""252 Gorgie Rd""",Edinburgh,EDH,EH11 2PL,55.9373965,-3.2349445,5.0,4,1,Fast Food;Restaurants;Middle Eastern
41776,NsarUMMMPOlMBb6K04x6hw,"""Juice Almighty""","""7A Castle Street, Corstorphine""",Edinburgh,EDH,EH2 3AH,55.951460600000004,-3.2026603,4.5,8,0,Juice Bars & Smoothies;Fast Food;Food;Restaurants
41822,K8s-oKzrcLwBcNDOs1WT5Q,"""Ravenous""","""42 Dundas Street""",Edinburgh,EDH,EH3 6JN,55.95760870000001,-3.1994875,4.5,4,1,Restaurants;Cafes
41916,jhz1kFR-VrbA_MSPQp7NkA,"""Laila's""","""63 Cockburn Street""",Edinburgh,MLN,EH1 1BS,55.950637,-3.1888201,4.5,26,1,Mediterranean;Middle Eastern;Restaurants
41943,jGisKivsuty7TKwAz5HEVQ,"""Indian Cavalry Club""","""22 Coates Crescent""",Edinburgh,EDH,EH3 7AF,55.947754,-3.2130862000000002,3.0,15,1,Indian;Restaurants
42214,ls6VOMX-HO30nsXUoQCTAQ,"""Tapame Tapas Bar""","""19-20 Teviot Place""",Edinburgh,EDH,EH1,55.9454664461,-3.1907410637,3.5,4,1,Restaurants;Tapas/Small Plates;Spanish;Greek
42362,SOLrbYk85owjJsyKkuc7DA,"""McSorley's Irish Bar""","""14 Forrest Road, Old Town""",Edinburgh,EDH,EH1 2QN,55.945691358699996,-3.1908631325,3.5,23,1,Music Venues;Restaurants;Nightlife;Arts & Entertainment;Irish;Bars;Pubs
42374,APoJIN6NYdgzgb9zVGt6jg,"""Embo Deli""","""29 Haddington Place""",Edinburgh,EDH,EH7 4AG,55.960529799999996,-3.1823262000000003,4.0,14,1,Food;Delis;Restaurants;Coffee & Tea
42382,urPV81KJZZVTaZ8_JU71_w,"""Sygn Bar""","""15 Charlotte Lane""",Edinburgh,EDH,EH2 4QZ,55.95133593560001,-3.209622289,3.5,41,1,Gastropubs;Nightlife;Restaurants;Bars;Pizza;Cocktail Bars;Breakfast & Brunch;British;Burgers
42513,9eA4mxNp_I5RdtjEAWbn_Q,"""Pig In A Poke""","""Suite 95, Rose Street""",Edinburgh,EDH,EH2 3DT,55.95210901350001,-3.2011611268999998,3.5,7,1,Fast Food;Restaurants
42531,ZWwtcMzhADrhoAxSsoc3HQ,"""Colonnades""","""The Signet Library, Parliament Square, The Royal Mile""",Edinburgh,EDH,EH1 1RF,55.949200501899995,-3.1914948812,5.0,8,1,Coffee & Tea;Breakfast & Brunch;Restaurants;British;Food;Tea Rooms;Sandwiches;Scottish
43045,t4pxMWLb7wDMsmURxYkUYQ,"""Palmyra""","""22 Nicolson Street""",Edinburgh,EDH,EH8 9DH,55.9463054,-3.1849998999999998,4.0,49,1,Fast Food;Restaurants;Middle Eastern
43197,RzPOqALs0cA1Oz-hAev5GQ,"""The Olive Branch Bistro""","""19 Colinton Road""",Edinburgh,EDH,EH10 5DP,55.9338246,-3.2106617,4.0,9,0,Restaurants;Cafes;Mediterranean
43209,MsjYBnKTsaE2tn78CAb_2g,"""Henry J Beans""","""Rutland Place, New Town""",Edinburgh,EDH,EH1 2AD,55.9499956,-3.2078092000000002,4.0,4,0,Restaurants;Bars;American (Traditional);Nightlife
43212,e8ohWYW8rbOZWZ4pojU4zQ,"""The Bon Vivant""","""55 Thistle Street""",Edinburgh,EDH,EH2 1DY,55.9540045,-3.1997287999999995,4.0,59,1,Tapas/Small Plates;Wine Bars;Modern European;Champagne Bars;Restaurants;Bars;Nightlife
43236,J2eaZ4o8btjeoTIoAfDqaw,"""East of Chicago Pizza""","""307 S Court St""",Medina,OH,44256,41.135567200000004,-81.8643042,3.0,4,1,Restaurants;Pizza
43264,MShj9LzV2MXaFs_sonkytg,"""Wahaca""","""16 South Saint Andrew Street""",Edinburgh,EDH,EH2 2AU,55.953383215200006,-3.1919407293,3.5,5,1,Mexican;Restaurants
43451,BmrVL3Aj5usPfpu5DE1iCg,"""Spoon""","""6a Nicolson Street""",Edinburgh,EDH,EH8 9DH,55.9455318,-3.1848791000000003,4.0,71,1,Food;Restaurants;Brasseries;Coffee & Tea
43505,MJ2Llajfj8DS3zyCJim1rw,"""Toast""","""146 Marchmont Road""",Edinburgh,EDH,EH9 1AQ,55.93539200000001,-3.19415,4.0,40,0,Restaurants;Brasseries;Breakfast & Brunch;Modern European
43839,M93N96pw4t_Rc3ACDm2dcw,"""Pinto""","""119 Lothian Road""",Edinburgh,EDH,EH3 9AN,55.9462076,-3.2050595,3.0,14,0,Fast Food;Mexican;Restaurants
43913,akbZVFQzejlCJtBGZTU4dA,"""La Tasca""","""2 Greenside Place""",Edinburgh,EDH,EH1 3AA,55.9566096,-3.1854002,3.5,14,0,Italian;Spanish;Restaurants;Basque
44200,JBbgEqxUGQXU4d_C8jKmZQ,"""Ti Amo""","""16 Niolson Street""",Edinburgh,EDH,EH8 9DH,55.946805000000005,-3.1856355,4.0,11,0,Restaurants;Italian
44261,fTPu0Veg_VCyiEjQZXSgWg,"""Bond No 9""","""84 Commercial Street, Leith""",Edinburgh,EDH,EH6 6LX,55.9768844,-3.1728104999999998,4.0,22,0,Restaurants;Breakfast & Brunch;Nightlife;Lounges;Modern European;Bars
44344,mzFzF1H0a-0NlNwFEA61Kw,"""El Toro Loco""","""60 Grassmarket, Old Town""",Edinburgh,EDH,EH1 2JR,55.947854799999995,-3.1955508,3.5,5,1,Restaurants;Mexican
44470,G0giaIgWqkHxn-LYUWU12A,"""Akva Bar""","""129 Fountainbridge""",Edinburgh,EDH,EH3 9QG,55.943163,-3.2082976000000003,4.0,17,1,Nightlife;Restaurants;Cocktail Bars;Venues & Event Spaces;Cafes;Event Planning & Services;Bars;Scandinavian
44488,EiYE3T3hfqcpcficZ4zJzQ,"""Montpeliers""","""159-161 Bruntsfield Pl, Bruntsfield""",Edinburgh,EDH,EH10 4DG,55.9358177916,-3.2095053628,3.5,54,1,Bars;Restaurants;Nightlife;Wine Bars;Brasseries
44740,qDPn14lenAGehkbnJaqnYg,"""The Blackbird""","""37-39 Leven Street""",Edinburgh,MLN,EH3 9LH,55.941244999999995,-3.2038450000000003,3.5,28,1,Nightlife;Bars;Restaurants;Pubs;Gastropubs
44819,-W2VTRe9TpXlh7TMzcGrpw,"""The Roamin' Nose""","""14 Eyre Place""",Edinburgh,EDH,EH3 5EP,55.961214957399996,-3.1991783522,4.0,17,1,Bistros;Food;Restaurants;Coffee & Tea
44874,kS2Tx6jsqKXPi4EA432YqA,"""Monte Bianco""","""115a Corstorphine Road""",Edinburgh,EDH,EH12 5PZ,55.9447236,-3.2502792,4.0,3,0,Restaurants;Fish & Chips
44918,tviTB11xZ1kAGaVGkmct4g,"""The Place To Eat""","""John Lewis, St James Centre""",Edinburgh,EDH,EH1 3SP,55.9549948191,-3.1867700317,3.0,4,0,Coffee & Tea;Restaurants;Sandwiches;Food;Breakfast & Brunch
45279,J6n-P8InsDe8dGf5TC1bXw,"""Gourmet Pasta""","""54/56 Morningside Road""",Edinburgh,EDH,EH10 4BZ,55.93264870000001,-3.2101603,4.5,11,0,Food;Restaurants;Specialty Food;Delis
45347,vv7HKwsG6tloU4xho7QUBQ,"""La Garrigue""","""14 Eyre Place""",Edinburgh,EDH,EH3 5EP,55.960696,-3.2004312,4.5,7,0,Restaurants;French
45475,Aiv_v7LDbmiDXpe7SjwAHg,"""McDonald's""","""3/9 S St Andrew Street""",Edinburgh,EDH,EH2 2AU,55.953303788999996,-3.1913287913,3.0,7,1,American (Traditional);Restaurants;Fast Food;Burgers
45632,feUd4LwKvb1lwcQWTHPCsQ,"""North China Restaurtant""","""3 Tarvit St""",Edinburgh,EDH,EH3 9LB,55.9421327,-3.2028738,3.5,3,0,Restaurants;Chinese
45662,DbFv7ApwhZvanANmZiNXlg,"""Sugarhouse Sandwiches""","""158 Canongate""",Edinburgh,MLN,EH8 8DD,55.95153979999999,-3.1786567999999997,4.5,13,1,Sandwiches;Restaurants
45707,ApCFTxBRiIDJ7KL557zwNQ,"""Dalriada""","""77 Promenade""",Edinburgh,EDH,EH15 2EL,55.9504678,-3.1002669999999997,4.0,19,1,Restaurants;Nightlife;Modern European;Arts & Entertainment;Music Venues;Bars
45736,Y3e_rfMxAPFWI03ZgnpPxg,"""Le Sept""","""5 Hunter Square""",Edinburgh,EDH,EH1 1QW,55.9493145,-3.1878925,4.0,16,0,Restaurants;French
45778,PE_YsiasD6aJA-8sEf5wSg,"""Preacher's""","""24-26 Lady Lawson Street""",Edinburgh,EDH,EH3 9DS,55.94629200000001,-3.2013708999999997,4.5,7,1,Bakeries;Food;Cafes;Restaurants
45949,wRVuPNdzTrlXC7m_CHac9g,"""Ristorante Mamma Roma""","""4/7 Antigua Street""",Edinburgh,EDH,EH1 3NH,55.9582338581,-3.1874084473,3.5,3,1,Italian;Restaurants
46158,eRNDudpCqrDuRaz4-reNOQ,"""Papilio""","""158 Bruntsfield Place""",Edinburgh,EDH,EH10 4ER,55.93645840000001,-3.2086242,4.5,20,1,Restaurants;Canadian (New);Italian
46315,pv4S2yOiWqH6AdFqzosZpw,"""Fishers""","""1 Shore""",Edinburgh,EDH,EH6 6QW,55.977519799999996,-3.1689022000000002,4.5,33,1,Restaurants;Seafood
46355,jpnts8lMTGUPvIYUj7rg1A,"""Iman's Grill""","""29-33 Nicolson Square, Nicolson Street""",Edinburgh,EDH,EH8 9BX,55.945556599999996,-3.1846324,4.0,4,0,Restaurants;Italian;Indian;Fast Food
46413,DpUebtvQjuu2On3Gh2nkBQ,"""Forest Cafe""","""3 Bristo Place""",Edinburgh,EDH,EH1 1EY,55.9463115,-3.1901167999999998,3.0,17,0,Restaurants;Food;Vegan;Coffee & Tea;Vegetarian
46472,EAXzHN5EwmNS3Hz-lBgTxw,"""Ooud Kitchen""","""138 Bruntsfield Pl""",Edinburgh,EDH,EH10 4ER,55.936569299999995,-3.2084101,3.0,7,0,Breakfast & Brunch;Mediterranean;Restaurants
46537,434CrrjCjq9gbo0HmN_ijw,"""delicious""","""51 Corbiehill Road""",Edinburgh,EDH,EH4 5AT,55.9651522,-3.2695997,1.5,3,1,Restaurants;Chinese
46539,fvmG_PnSCq4iMpBG8jfIdg,"""Rigatoni's""","""27 South Clerk Street, Newington, Southside""",Edinburgh,EDH,EH8 9JD,55.940932795900004,-3.1801986694,5.0,4,1,Delicatessen;Food;Restaurants;Italian
46760,dIQetmbkXozPh8N8a_RGpg,"""Cappadocia""","""10 Forest Road""",Edinburgh,EDH,EH1 2QN,55.9457711,-3.190811,3.5,12,1,Turkish;Fast Food;Halal;Restaurants
46838,Ubye_qiESMKdUjQUBmNWWg,"""Panda Kitchen""","""503 S Court St, Ste A""",Medina,OH,44256,41.1339615,-81.8644931,3.5,10,1,Restaurants;Chinese
47075,wNy3CnWWAnTCfDYsZTSUPw,"""Giuliano's""","""18-19 Union Place""",Edinburgh,EDH,EH1 3NQ,55.957245254700005,-3.1858016962,4.0,14,1,Restaurants;Italian
47321,jpHVV9egbixc56MwP8rzbA,"""Ricebox Take Away Food Shops""","""28 Easter Rd""",Edinburgh,EDH,EH7 5RG,55.968722899999996,-3.1677098,2.0,11,1,Fast Food;Chinese;Restaurants
47446,ZwrdQ9ZF1sgCa2TJ_NiOuw,"""The Royal Dick Bar""","""Summerhall, 1 Summerhall""",Edinburgh,EDH,EH9 1PL,55.939285999999996,-3.1821330000000003,4.5,11,1,Bars;Bistros;Pubs;Breweries;Food;Nightlife;Restaurants
47456,Cm4m2WFg6h56nwjAcmgZhg,"""Iris""","""47A Thistle Street""",Edinburgh,EDH,EH2 1DY,55.9540517,-3.1995061000000002,4.0,16,1,Restaurants;Modern European;American (New)
47482,E8PkjCmDnDE7_2rYf38lRA,"""The Kitchin""","""78 Commercial Street, Leith""",Edinburgh,EDH,EH6 6LX,55.9770179,-3.1726975,4.5,54,1,Restaurants;Modern European;British
47515,I1tx1SomTfGXCtByoSPB_A,"""Fatma""","""92 Commercial Street""",Edinburgh,EDH,EH6 6LX,55.9771057,-3.1736012000000002,4.0,3,0,Restaurants;Middle Eastern
47626,fel5V_veoj99lE1Bad7SEw,"""The Standing Order""","""62-66 George Street""",Edinburgh,EDH,EH2 2LR,55.9529246,-3.1995864,3.0,78,1,Nightlife;Restaurants;Gastropubs;Pubs;Bars
47823,NOOReNhAvrGhbJswO5LAiw,"""Black Bo's Restaurant""","""57-61 Blackfriars Street""",Edinburgh,EDH,EH1 1NB,55.94965799999999,-3.1856137,4.5,13,0,Vegetarian;Restaurants
48002,fYphvqFYt2HNz5RyJtmH4A,"""The Newington Traditional Fish Bar""","""23 South Clerk Street""",Edinburgh,EDH,EH8 9JD,55.940874699999995,-3.1809179,3.5,16,0,Restaurants;Fish & Chips;Fast Food
